,CatID
0,231.73
1,214.07
2,231.82
3,214.06
4,231.87
5,214.06
6,231.97
7,213.99
8,231.91
9,214.12
10,231.81
11,214.19
12,231.64
13,214.25
14,231.81
15,214.42
16,232.45
17,214.68
18,232.98
19,215.15
20,233.52
21,215.54
22,233.0
23,215.45
24,231.77
25,215.12
26,230.71
27,214.08
28,228.56
29,212.16
30,225.16
31,209.75
32,220.61
33,205.79
34,215.99
35,200.07
36,212.53
37,195.63
38,205.12
39,188.42
40,199.49
41,184.62
42,192.76
43,178.86
44,186.88
45,174.81
46,181.49
47,172.27
48,177.3
49,169.68
50,173.86
51,166.77
52,170.83
53,164.08
54,168.13
55,161.8
56,165.2
57,160.04
58,162.57
59,158.65
60,161.49
61,157.49
62,160.69
63,157.38
64,159.87
65,157.71
66,159.06
67,158.17
68,158.43
69,158.68
70,158.65
71,159.5
72,159.26
73,160.11
74,159.36
75,160.11
76,159.42
77,160.75
78,159.75
79,162.19
80,159.83
81,162.77
82,159.15
83,162.8
84,159.16
85,163.33
86,158.48
87,163.55
88,156.96
89,162.9
90,155.67
91,161.77
92,154.26
93,159.84
94,152.95
95,157.77
96,151.92
97,157.5
98,151.64
99,159.46
100,151.71
101,160.36
102,152.49
103,159.84
104,152.96
105,158.72
106,152.92
107,157.41
108,153.31
109,156.7
110,154.27
111,156.55
112,155.54
113,156.7
114,156.21
115,156.78
116,157.04
117,156.43
118,157.35
119,154.86
120,156.97
121,153.96
122,156.49
123,153.07
124,155.78
125,152.54
126,155.18
127,152.33
128,154.36
129,152.6
130,153.66
131,152.98
132,153.2
133,153.49
134,152.92
135,153.66
136,152.51
137,153.23
138,151.9
139,152.53
140,151.38
141,152.14
142,151.06
143,152.16
144,150.69
145,152.17
146,150.34
147,151.95
148,150.09
149,151.84
150,150.25
151,151.9
152,150.77
153,152.17
154,151.28
155,152.96
156,151.52
157,153.3
158,151.56
159,153.06
160,151.85
161,152.96
162,152.0
163,152.47
164,152.58
165,151.41
166,153.35
167,149.12
168,150.79
169,145.22
170,146.34
171,140.89
172,142.3
173,137.29
174,139.58
175,135.1
176,138.1
177,133.83
178,136.98
179,133.0
180,137.39
181,132.16
182,137.59
183,131.76
184,138.05
185,131.69
186,138.18
187,131.74
188,138.79
189,131.8
190,139.67
191,131.97
192,140.38
193,131.99
194,140.76
195,131.99
196,141.08
197,131.83
198,140.34
199,131.77
200,139.47
201,132.24
202,140.74
203,134.34
204,144.05
205,138.63
206,147.97
207,143.76
208,149.62
209,147.8
210,150.27
211,149.54
212,150.41
213,149.76
214,151.47
215,150.84
216,151.98
217,151.48
218,152.39
219,151.74
220,152.86
221,151.71
222,153.16
223,152.36
224,154.49
225,153.8
226,155.47
227,154.98
228,155.35
229,155.86
230,154.15
231,155.98
232,153.77
233,156.11
234,153.35
235,156.53
236,153.98
237,157.54
238,156.73
239,158.76
240,158.32
241,159.38
242,159.2
243,159.89
244,160.65
245,160.49
246,162.04
247,160.76
248,163.3
249,160.83
250,164.59
251,160.58
252,166.19
253,160.22
254,167.51
255,159.98
256,168.57
257,159.92
258,169.26
259,160.18
260,170.16
261,160.28
262,170.88
263,160.45
264,171.93
265,160.76
266,172.9
267,161.2
268,173.21
269,161.14
270,173.58
271,160.98
272,173.76
273,160.74
274,173.42
275,160.62
276,173.3
277,160.19
278,172.5
279,158.12
280,172.16
281,158.08
282,171.61
283,158.01
284,170.84
285,158.12
286,170.77
287,158.09
288,171.14
289,158.56
290,171.25
291,159.09
292,171.9
293,159.51
294,172.86
295,160.57
296,172.99
297,160.62
298,172.41
299,160.55
300,171.86
301,160.59
302,171.22
303,160.76
304,170.41
305,160.72
306,169.89
307,160.68
308,169.6
309,160.7
310,168.74
311,160.95
312,168.19
313,160.76
314,168.24
315,160.74
316,167.72
317,161.33
318,167.49
319,161.63
320,167.67
321,162.59
322,168.18
323,163.19
324,168.84
325,163.42
326,169.68
327,163.63
328,170.09
329,163.93
330,169.53
331,164.3
332,168.43
333,165.1
334,167.59
335,165.74
336,166.78
337,165.89
338,165.79
339,165.76
340,165.51
341,165.7
342,165.03
343,165.9
344,165.22
345,166.08
346,165.41
347,166.51
348,166.23
349,168.27
350,167.16
351,170.6
352,168.98
353,173.0
354,171.55
355,174.6
356,173.91
357,175.53
358,175.03
359,175.2
360,175.64
361,176.41
362,177.26
363,178.06
364,179.4
365,179.54
366,181.3
367,182.18
368,182.95
369,184.83
370,185.31
371,185.46
372,188.09
373,184.95
374,191.0
375,185.07
376,192.89
377,184.63
378,195.06
379,184.66
380,197.62
381,185.13
382,199.89
383,185.15
384,202.22
385,185.55
386,204.55
387,186.69
388,206.07
389,187.69
390,206.85
391,189.34
392,207.77
393,191.53
394,208.58
395,193.17
396,209.37
397,195.18
398,209.85
399,195.32
